,experiment,measurement,replication,module,name,value_stored,value_current,absolute_error,relative_error
312,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetDrop:sum(packetBytes),0,134000,134000,inf
308,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerWithRetry:sum(packetBytes),0,129120,129120,inf
289,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeerUnicast:count,0,2000,2000,inf
290,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeerUnicast:sum(packetBytes),0,134000,134000,inf
297,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeerWithoutRetry:count,0,2000,2000,inf
298,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeerWithoutRetry:sum(packetBytes),0,134000,134000,inf
299,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeer:count,0,3076,3076,inf
300,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeer:sum(packetBytes),0,263120,263120,inf
301,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerUnicast:count,0,3076,3076,inf
302,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerUnicast:sum(packetBytes),0,263120,263120,inf
307,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerWithRetry:count,0,1076,1076,inf
309,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerWithoutRetry:count,0,2000,2000,inf
621,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].radio,packetErrorRate:histogram:sumweights,0,5076,5076,inf
310,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetSentToPeerWithoutRetry:sum(packetBytes),0,134000,134000,inf
311,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetDrop:count,0,2000,2000,inf
1,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.radioMedium,transmission count,0,10154,10154,inf
313,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetDropNotAddressedToUs:count,0,2000,2000,inf
314,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetDropNotAddressedToUs:sum(packetBytes),0,134000,134000,inf
320,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac,packetReceivedFromLower:count,0,4000,4000,inf
321,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac,packetReceivedFromLower:sum(packetBytes),0,268000,268000,inf
322,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac,packetSentToLower:count,0,3077,3077,inf
323,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac,packetSentToLower:sum(packetBytes),0,263240,263240,inf
288,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeer:sum(packetBytes),0,134000,134000,inf
287,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,packetReceivedFromPeer:count,0,2000,2000,inf
286,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,frameSequenceFinished:count,0,2076,2076,inf
282,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf.recipientMacDataService,packetDefragmented:count,0,1000,1000,inf
210,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].mac,packetSentToUpper:sum(packetBytes),0,184000,184000,inf
211,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].mac,packetDrop:count,0,1076,1076,inf
212,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].mac,packetDrop:sum(packetBytes),0,129120,129120,inf
213,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].mac,packetDropIncorrectlyReceived:count,0,1076,1076,inf
214,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].mac,packetDropIncorrectlyReceived:sum(packetBytes),0,129120,129120,inf
708,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf,frameSequenceDuration:histogram:count,0,2076,2076,inf
228,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.destination.wlan[0].radio,transmissionState:count,0,16000,16000,inf
698,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf.channelAccess.inProgressFrames,queueingTime:histogram:sumweights,0,1000,1000,inf
697,InterferingSignals,,#0,MediumActivityInterferingSignalsShowcase.source2.wlan[0].mac.dcf.channelAccess.inProgressFrames,queueingTime:histogram:count,0,1000,1000,inf
