,experiment,measurement,replication,module,name,value_stored,value_current,relative_error
21266,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.transmitter,throughput:histogram:min,94041600,0,-inf
3529,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:histogram:min,93030400,0,-inf
29354,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamCoder.decoder,outgoingDataRate:vector:min,91363200,0,-inf
10996,General,,#0,ManualConfigurationShowcase.s1.ieee8021q.qTagHeaderChecker,outgoingDataRate:vector:min,91363200,0,-inf
3306,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.phyHeaderChecker,incomingDataRate:vector:min,93030400,0,-inf
8912,General,,#0,ManualConfigurationShowcase.s1.eth[2].macLayer.fcsChecker,outgoingDataRate:vector:min,93446400,0,-inf
20597,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.server,outgoingDataRate:vector:min,94451200,0,-inf
10538,General,,#0,ManualConfigurationShowcase.s1.ethernet.macHeaderChecker,incomingDataRate:vector:min,93148800,0,-inf
17844,General,,#0,ManualConfigurationShowcase.s2b.bridging.directionReverser.reverser,incomingDataRate:vector:min,92345600,0,-inf
29445,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamCoder.encoder,incomingDataRate:vector:min,91363200,0,-inf
10660,General,,#0,ManualConfigurationShowcase.s1.ethernet.macHeaderInserter,incomingDataRate:vector:min,183224496.76741686,0,-inf
32681,General,,#0,ManualConfigurationShowcase.s3b.ethernet.fcsChecker,incomingDataRate:vector:min,93446400,0,-inf
21510,General,,#0,ManualConfigurationShowcase.s2b.eth[2].macLayer.fcsChecker,outgoingDataRate:vector:min,94451200,0,-inf
33718,General,,#0,ManualConfigurationShowcase.s3b.ieee8021r.rTagHeaderChecker,incomingDataRate:vector:min,92107200,0,-inf
29476,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamCoder.encoder,outgoingDataRate:vector:min,91363200,0,-inf
9495,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.inboundEmitter,outgoingDataRate:vector:min,94041600,0,-inf
5246,General,,#0,ManualConfigurationShowcase.s1.bridging.directionReverser.reverser,incomingDataRate:vector:min,91363200,0,-inf
6488,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.queue,incomingDataRate:vector:min,93446400,0,-inf
7999,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.server,outgoingDataRate:vector:min,93446400,0,-inf
7751,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.outboundEmitter,incomingDataRate:vector:min,93446400,0,-inf
33108,General,,#0,ManualConfigurationShowcase.s3b.ethernet.macHeaderInserter,incomingDataRate:vector:min,92107200,0,-inf
19750,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.phyHeaderInserter,incomingDataRate:vector:min,94451200,0,-inf
18975,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.outboundEmitter,incomingDataRate:vector:min,94451200,0,-inf
6847,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.outboundEmitter,incomingDataRate:vector:min,94041600,0,-inf
23716,General,,#0,ManualConfigurationShowcase.s2b.ieee8021q.qTagHeaderInserter,outgoingDataRate:vector:min,182336494.35982034,0,-inf
29323,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamCoder.decoder,incomingDataRate:vector:min,91363200,0,-inf
32803,General,,#0,ManualConfigurationShowcase.s3b.ethernet.fcsInserter,incomingDataRate:vector:min,93148800,0,-inf
31329,General,,#0,ManualConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,incomingDataRate:vector:min,93446400,0,-inf
5776,General,,#0,ManualConfigurationShowcase.s1.bridging.streamIdentifier.identifier,outgoingDataRate:vector:min,91363200,0,-inf
6625,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.server,outgoingDataRate:vector:min,93446400,0,-inf
21479,General,,#0,ManualConfigurationShowcase.s2b.eth[2].macLayer.fcsChecker,incomingDataRate:vector:min,94451200,0,-inf
23289,General,,#0,ManualConfigurationShowcase.s2b.ethernet.macHeaderInserter,outgoingDataRate:vector:min,185296502.38514209,0,-inf
10691,General,,#0,ManualConfigurationShowcase.s1.ethernet.macHeaderInserter,outgoingDataRate:vector:min,185296502.38514209,0,-inf
6519,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.queue,outgoingDataRate:vector:min,93446400,0,-inf
33871,General,,#0,ManualConfigurationShowcase.s3b.ieee8021r.rTagHeaderInserter,outgoingDataRate:vector:min,92107200,0,-inf
23685,General,,#0,ManualConfigurationShowcase.s2b.ieee8021q.qTagHeaderInserter,incomingDataRate:vector:min,181744492.75475597,0,-inf
30447,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.server,outgoingDataRate:vector:min,93446400,0,-inf
19117,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.queue,outgoingDataRate:vector:min,94451200,0,-inf
9778,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.phyHeaderChecker,incomingDataRate:vector:min,94041600,0,-inf
19476,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.outboundEmitter,outgoingDataRate:vector:min,95052800,0,-inf
31943,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.inboundEmitter,outgoingDataRate:vector:min,94041600,0,-inf
31116,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.transmitter,throughput:histogram:min,93030400,0,-inf
10813,General,,#0,ManualConfigurationShowcase.s1.ethernet.paddingInserter,outgoingDataRate:vector:min,185296502.38514209,0,-inf
11118,General,,#0,ManualConfigurationShowcase.s1.ieee8021q.qTagHeaderInserter,outgoingDataRate:vector:min,182336494.35982034,0,-inf
29068,General,,#0,ManualConfigurationShowcase.s3b.bridging.directionReverser.reverser,incomingDataRate:vector:min,91363200,0,-inf
19904,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.transmitter,throughput:vector:min,94041600,0,-inf
32834,General,,#0,ManualConfigurationShowcase.s3b.ethernet.fcsInserter,outgoingDataRate:vector:min,93446400,0,-inf
20566,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.server,incomingDataRate:vector:min,94451200,0,-inf
6878,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.outboundEmitter,outgoingDataRate:vector:min,94041600,0,-inf
19192,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.server,incomingDataRate:vector:min,94451200,0,-inf
22376,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.phyHeaderChecker,incomingDataRate:vector:min,95052800,0,-inf
11270,General,,#0,ManualConfigurationShowcase.s1.ieee8021r.rTagHeaderChecker,incomingDataRate:vector:min,92107200,0,-inf
8881,General,,#0,ManualConfigurationShowcase.s1.eth[2].macLayer.fcsChecker,incomingDataRate:vector:min,93446400,0,-inf
8221,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.outboundEmitter,incomingDataRate:vector:min,94041600,0,-inf
3337,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.phyHeaderChecker,outgoingDataRate:vector:min,92441600,0,-inf
5501,General,,#0,ManualConfigurationShowcase.s1.bridging.streamCoder.decoder,incomingDataRate:vector:min,91363200,0,-inf
33840,General,,#0,ManualConfigurationShowcase.s3b.ieee8021r.rTagHeaderInserter,incomingDataRate:vector:min,91660800,0,-inf
11392,General,,#0,ManualConfigurationShowcase.s1.ieee8021r.rTagHeaderInserter,incomingDataRate:vector:min,182336494.35982034,0,-inf
30669,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.outboundEmitter,incomingDataRate:vector:min,94041600,0,-inf
35241,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:mean,0.000443617071650206,0,-inf
33230,General,,#0,ManualConfigurationShowcase.s3b.ethernet.paddingInserter,incomingDataRate:vector:min,93148800,0,-inf
32226,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.phyHeaderChecker,incomingDataRate:vector:min,94041600,0,-inf
35963,General,,#0,ManualConfigurationShowcase.source.eth[0].phyLayer.transmitter,throughput:histogram:min,95052800,0,-inf
33261,General,,#0,ManualConfigurationShowcase.s3b.ethernet.paddingInserter,outgoingDataRate:vector:min,93148800,0,-inf
21632,General,,#0,ManualConfigurationShowcase.s2b.eth[2].macLayer.inboundEmitter,outgoingDataRate:vector:min,94451200,0,-inf
33139,General,,#0,ManualConfigurationShowcase.s3b.ethernet.macHeaderInserter,outgoingDataRate:vector:min,93148800,0,-inf
32257,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.phyHeaderChecker,outgoingDataRate:vector:min,93446400,0,-inf
22062,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.inboundEmitter,incomingDataRate:vector:min,95052800,0,-inf
33535,General,,#0,ManualConfigurationShowcase.s3b.ieee8021q.qTagHeaderInserter,incomingDataRate:vector:min,91363200,0,-inf
35967,General,,#0,ManualConfigurationShowcase.source.eth[0].phyLayer.transmitter,throughput:histogram:rangemin,94000000,0,-inf
30974,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.phyHeaderInserter,incomingDataRate:vector:min,93446400,0,-inf
23990,General,,#0,ManualConfigurationShowcase.s2b.ieee8021r.rTagHeaderInserter,incomingDataRate:vector:min,182336494.35982034,0,-inf
5745,General,,#0,ManualConfigurationShowcase.s1.bridging.streamIdentifier.identifier,incomingDataRate:vector:min,91363200,0,-inf
22953,General,,#0,ManualConfigurationShowcase.s2b.ethernet.fcsInserter,incomingDataRate:vector:min,185296502.38514209,0,-inf
2531,General,,#0,ManualConfigurationShowcase.destination.eth[1].macLayer.inboundEmitter,incomingDataRate:vector:min,92441600,0,-inf
19006,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.outboundEmitter,outgoingDataRate:vector:min,94451200,0,-inf
35247,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:stddev,0.00022636941064640815,0,-inf
861,General,,#0,ManualConfigurationShowcase.destination.bridging.streamRelay.merger,outgoingDataRate:vector:min,90380800,0,-inf
7893,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.queue,outgoingDataRate:vector:min,93446400,0,-inf
5399,General,,#0,ManualConfigurationShowcase.s1.bridging.interfaceRelay.learner,outgoingDataRate:vector:min,91363200,0,-inf
33413,General,,#0,ManualConfigurationShowcase.s3b.ieee8021q.qTagHeaderChecker,incomingDataRate:vector:min,91660800,0,-inf
35256,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:stddev,0.00022636941064640815,0,-inf
17875,General,,#0,ManualConfigurationShowcase.s2b.bridging.directionReverser.reverser,outgoingDataRate:vector:min,92345600,0,-inf
31128,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.transmitter,throughput:vector:min,93030400,0,-inf
20819,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.outboundEmitter,incomingDataRate:vector:min,95052800,0,-inf
35253,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:mean,0.000443617071650206,0,-inf
2562,General,,#0,ManualConfigurationShowcase.destination.eth[1].macLayer.inboundEmitter,outgoingDataRate:vector:min,92441600,0,-inf
35252,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:max,0.000995573171,0,-inf
7862,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.queue,incomingDataRate:vector:min,93446400,0,-inf
2440,General,,#0,ManualConfigurationShowcase.destination.eth[1].macLayer.fcsChecker,outgoingDataRate:vector:min,92441600,0,-inf
7782,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.outboundEmitter,outgoingDataRate:vector:min,93446400,0,-inf
5277,General,,#0,ManualConfigurationShowcase.s1.bridging.directionReverser.reverser,outgoingDataRate:vector:min,91363200,0,-inf
2992,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.inboundEmitter,incomingDataRate:vector:min,93030400,0,-inf
9003,General,,#0,ManualConfigurationShowcase.s1.eth[2].macLayer.inboundEmitter,incomingDataRate:vector:min,93446400,0,-inf
3023,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.inboundEmitter,outgoingDataRate:vector:min,93030400,0,-inf
6377,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.outboundEmitter,incomingDataRate:vector:min,93446400,0,-inf
2409,General,,#0,ManualConfigurationShowcase.destination.eth[1].macLayer.fcsChecker,incomingDataRate:vector:min,92441600,0,-inf
20850,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.outboundEmitter,outgoingDataRate:vector:min,95052800,0,-inf
5654,General,,#0,ManualConfigurationShowcase.s1.bridging.streamCoder.encoder,outgoingDataRate:vector:min,181744492.75475597,0,-inf
24021,General,,#0,ManualConfigurationShowcase.s2b.ieee8021r.rTagHeaderInserter,outgoingDataRate:vector:min,183224496.76741686,0,-inf
35975,General,,#0,ManualConfigurationShowcase.source.eth[0].phyLayer.transmitter,throughput:vector:min,95052800,0,-inf
30700,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.outboundEmitter,outgoingDataRate:vector:min,94041600,0,-inf
35240,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:max,0.000995573171,0,-inf
9464,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.inboundEmitter,incomingDataRate:vector:min,94041600,0,-inf
35257,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:sum,0.43119579364400024,0,-inf
23258,General,,#0,ManualConfigurationShowcase.s2b.ethernet.macHeaderInserter,incomingDataRate:vector:min,183224496.76741686,0,-inf
35246,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:rangemin,0,-0.5,-inf
22093,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.inboundEmitter,outgoingDataRate:vector:min,95052800,0,-inf
31451,General,,#0,ManualConfigurationShowcase.s3b.eth[1].macLayer.inboundEmitter,incomingDataRate:vector:min,93446400,0,-inf
10569,General,,#0,ManualConfigurationShowcase.s1.ethernet.macHeaderChecker,outgoingDataRate:vector:min,92107200,0,-inf
6408,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.outboundEmitter,outgoingDataRate:vector:min,93446400,0,-inf
31912,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.inboundEmitter,incomingDataRate:vector:min,94041600,0,-inf
21601,General,,#0,ManualConfigurationShowcase.s2b.eth[2].macLayer.inboundEmitter,incomingDataRate:vector:min,94451200,0,-inf
9034,General,,#0,ManualConfigurationShowcase.s1.eth[2].macLayer.inboundEmitter,outgoingDataRate:vector:min,93446400,0,-inf
11423,General,,#0,ManualConfigurationShowcase.s1.ieee8021r.rTagHeaderInserter,outgoingDataRate:vector:min,183224496.76741686,0,-inf
23411,General,,#0,ManualConfigurationShowcase.s2b.ethernet.paddingInserter,outgoingDataRate:vector:min,185296502.38514209,0,-inf
32986,General,,#0,ManualConfigurationShowcase.s3b.ethernet.macHeaderChecker,incomingDataRate:vector:min,93148800,0,-inf
7968,General,,#0,ManualConfigurationShowcase.s1.eth[1].macLayer.server,incomingDataRate:vector:min,93446400,0,-inf
5368,General,,#0,ManualConfigurationShowcase.s1.bridging.interfaceRelay.learner,incomingDataRate:vector:min,91363200,0,-inf
9809,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.phyHeaderChecker,outgoingDataRate:vector:min,93446400,0,-inf
29781,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamRelay.merger,outgoingDataRate:vector:min,91363200,0,-inf
22407,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.phyHeaderChecker,outgoingDataRate:vector:min,94451200,0,-inf
22603,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.receiver,throughput:histogram:rangemin,94000000,0,-inf
11301,General,,#0,ManualConfigurationShowcase.s1.ieee8021r.rTagHeaderChecker,outgoingDataRate:vector:min,91660800,0,-inf
8668,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.transmitter,throughput:histogram:min,95052800,0,-inf
71,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,meanBitLifeTimePerPacket:histogram:rangemin,0.00020000000000000001,0,-inf
72,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,meanBitLifeTimePerPacket:histogram:stddev,0.00022523601742432524,0,-inf
22599,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.receiver,throughput:histogram:min,95052800,0,-inf
18374,General,,#0,ManualConfigurationShowcase.s2b.bridging.streamIdentifier.identifier,outgoingDataRate:vector:min,92345600,0,-inf
8526,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.phyHeaderInserter,incomingDataRate:vector:min,93446400,0,-inf
8672,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.transmitter,throughput:histogram:rangemin,94000000,0,-inf
5959,General,,#0,ManualConfigurationShowcase.s1.bridging.streamRelay.merger,outgoingDataRate:vector:min,91363200,0,-inf
81,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,meanBitLifeTimePerPacket:vector:stddev,0.00022523601742432524,0,-inf
20349,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.outboundEmitter,incomingDataRate:vector:min,94451200,0,-inf
35215,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueBitLength:last,60288,0,-inf
33017,General,,#0,ManualConfigurationShowcase.s3b.ethernet.macHeaderChecker,outgoingDataRate:vector:min,92107200,0,-inf
86,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetDelayDifferenceToMean:histogram:mean,-6.8655246851373814e-05,2.1141942363467337e-20,inf
5928,General,,#0,ManualConfigurationShowcase.s1.bridging.streamRelay.merger,incomingDataRate:vector:min,91363200,0,-inf
8680,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.transmitter,throughput:vector:min,95052800,0,-inf
7183,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.phyHeaderInserter,outgoingDataRate:vector:min,94041600,0,-inf
33444,General,,#0,ManualConfigurationShowcase.s3b.ieee8021q.qTagHeaderChecker,outgoingDataRate:vector:min,91363200,0,-inf
98,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetDelayDifferenceToMean:vector:mean,-6.8655246851373814e-05,2.1141942363467337e-20,inf
3533,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:histogram:rangemin,91400000,0,-inf
32461,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.receiver,throughput:vector:min,94041600,0,-inf
10013,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.receiver,throughput:vector:min,94041600,0,-inf
20380,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.outboundEmitter,outgoingDataRate:vector:min,94451200,0,-inf
10233,General,,#0,ManualConfigurationShowcase.s1.ethernet.fcsChecker,incomingDataRate:vector:min,93446400,0,-inf
35217,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueBitLength:timeavg,43599.321055813263,0,-inf
10005,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.receiver,throughput:histogram:rangemin,92700000,0,-inf
18221,General,,#0,ManualConfigurationShowcase.s2b.bridging.streamCoder.encoder,incomingDataRate:vector:min,181744492.75475597,0,-inf
8557,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.phyHeaderInserter,outgoingDataRate:vector:min,94041600,0,-inf
22984,General,,#0,ManualConfigurationShowcase.s2b.ethernet.fcsInserter,outgoingDataRate:vector:min,185888503.99020645,0,-inf
30341,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.queue,outgoingDataRate:vector:min,93446400,0,-inf
31482,General,,#0,ManualConfigurationShowcase.s3b.eth[1].macLayer.inboundEmitter,outgoingDataRate:vector:min,93446400,0,-inf
32712,General,,#0,ManualConfigurationShowcase.s3b.ethernet.fcsChecker,outgoingDataRate:vector:min,93148800,0,-inf
31360,General,,#0,ManualConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,outgoingDataRate:vector:min,93446400,0,-inf
18557,General,,#0,ManualConfigurationShowcase.s2b.bridging.streamRelay.merger,outgoingDataRate:vector:min,92345600,0,-inf
28,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,dataRate:vector:min,88320000,0,-inf
33566,General,,#0,ManualConfigurationShowcase.s3b.ieee8021q.qTagHeaderInserter,outgoingDataRate:vector:min,91660800,0,-inf
35227,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueLength:last,6,0,-inf
22611,General,,#0,ManualConfigurationShowcase.s2b.eth[2].phyLayer.receiver,throughput:vector:min,95052800,0,-inf
30416,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.server,incomingDataRate:vector:min,93446400,0,-inf
10264,General,,#0,ManualConfigurationShowcase.s1.ethernet.fcsChecker,outgoingDataRate:vector:min,93148800,0,-inf
37,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,droppedDataRate:vector:min,88320000,0,-inf
10355,General,,#0,ManualConfigurationShowcase.s1.ethernet.fcsInserter,incomingDataRate:vector:min,185296502.38514209,0,-inf
19445,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.outboundEmitter,incomingDataRate:vector:min,95052800,0,-inf
7152,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.phyHeaderInserter,incomingDataRate:vector:min,93446400,0,-inf
30310,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.queue,incomingDataRate:vector:min,93446400,0,-inf
6594,General,,#0,ManualConfigurationShowcase.s1.eth[0].macLayer.server,incomingDataRate:vector:min,93446400,0,-inf
33749,General,,#0,ManualConfigurationShowcase.s3b.ieee8021r.rTagHeaderChecker,outgoingDataRate:vector:min,91660800,0,-inf
21155,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.phyHeaderInserter,outgoingDataRate:vector:min,95052800,0,-inf
18252,General,,#0,ManualConfigurationShowcase.s2b.bridging.streamCoder.encoder,outgoingDataRate:vector:min,181744492.75475597,0,-inf
19223,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.server,outgoingDataRate:vector:min,94451200,0,-inf
10782,General,,#0,ManualConfigurationShowcase.s1.ethernet.paddingInserter,incomingDataRate:vector:min,185296502.38514209,0,-inf
102,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetDelayDifferenceToMean:vector:sum,-0.066458278952129857,2.1141942363467336e-18,inf
21270,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.transmitter,throughput:histogram:rangemin,92700000,0,-inf
19781,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.phyHeaderInserter,outgoingDataRate:vector:min,95052800,0,-inf
32449,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.receiver,throughput:histogram:min,94041600,0,-inf
20460,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.queue,incomingDataRate:vector:min,94451200,0,-inf
29190,General,,#0,ManualConfigurationShowcase.s3b.bridging.interfaceRelay.learner,incomingDataRate:vector:min,91363200,0,-inf
7298,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.transmitter,throughput:histogram:rangemin,94000000,0,-inf
29750,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamRelay.merger,incomingDataRate:vector:min,91363200,0,-inf
30230,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.outboundEmitter,outgoingDataRate:vector:min,93446400,0,-inf
29221,General,,#0,ManualConfigurationShowcase.s3b.bridging.interfaceRelay.learner,outgoingDataRate:vector:min,91363200,0,-inf
18343,General,,#0,ManualConfigurationShowcase.s2b.bridging.streamIdentifier.identifier,incomingDataRate:vector:min,92345600,0,-inf
7306,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.transmitter,throughput:vector:min,95052800,0,-inf
20491,General,,#0,ManualConfigurationShowcase.s2b.eth[1].macLayer.queue,outgoingDataRate:vector:min,94451200,0,-inf
23380,General,,#0,ManualConfigurationShowcase.s2b.ethernet.paddingInserter,incomingDataRate:vector:min,185296502.38514209,0,-inf
19892,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.transmitter,throughput:histogram:min,94041600,0,-inf
172,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetLifeTime:histogram:rangemin,0.00020000000000000001,0,-inf
10386,General,,#0,ManualConfigurationShowcase.s1.ethernet.fcsInserter,outgoingDataRate:vector:min,185888503.99020645,0,-inf
173,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetLifeTime:histogram:stddev,0.00022523601742432524,0,-inf
29567,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamIdentifier.identifier,incomingDataRate:vector:min,91363200,0,-inf
31120,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.transmitter,throughput:histogram:rangemin,91400000,0,-inf
5623,General,,#0,ManualConfigurationShowcase.s1.bridging.streamCoder.encoder,incomingDataRate:vector:min,181744492.75475597,0,-inf
30199,General,,#0,ManualConfigurationShowcase.s3b.eth[0].macLayer.outboundEmitter,incomingDataRate:vector:min,93446400,0,-inf
35229,General,,#0,ManualConfigurationShowcase.source.eth[0].macLayer.queue,queueLength:timeavg,4.3391044044400084,0,-inf
182,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetLifeTime:vector:stddev,0.00022523601742432524,0,-inf
11087,General,,#0,ManualConfigurationShowcase.s1.ieee8021q.qTagHeaderInserter,incomingDataRate:vector:min,181744492.75475597,0,-inf
8252,General,,#0,ManualConfigurationShowcase.s1.eth[1].phyLayer.outboundEmitter,outgoingDataRate:vector:min,94041600,0,-inf
3541,General,,#0,ManualConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:vector:min,93030400,0,-inf
19896,General,,#0,ManualConfigurationShowcase.s2b.eth[0].phyLayer.transmitter,throughput:histogram:rangemin,92700000,0,-inf
31005,General,,#0,ManualConfigurationShowcase.s3b.eth[0].phyLayer.phyHeaderInserter,outgoingDataRate:vector:min,94041600,0,-inf
139,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetJitter:vector:min,-0.00018721119000000006,0,inf
10965,General,,#0,ManualConfigurationShowcase.s1.ieee8021q.qTagHeaderChecker,incomingDataRate:vector:min,91660800,0,-inf
29598,General,,#0,ManualConfigurationShowcase.s3b.bridging.streamIdentifier.identifier,outgoingDataRate:vector:min,91363200,0,-inf
32453,General,,#0,ManualConfigurationShowcase.s3b.eth[1].phyLayer.receiver,throughput:histogram:rangemin,92700000,0,-inf
7294,General,,#0,ManualConfigurationShowcase.s1.eth[0].phyLayer.transmitter,throughput:histogram:min,95052800,0,-inf
29099,General,,#0,ManualConfigurationShowcase.s3b.bridging.directionReverser.reverser,outgoingDataRate:vector:min,91363200,0,-inf
21278,General,,#0,ManualConfigurationShowcase.s2b.eth[1].phyLayer.transmitter,throughput:vector:min,94041600,0,-inf
10001,General,,#0,ManualConfigurationShowcase.s1.eth[2].phyLayer.receiver,throughput:histogram:min,94041600,0,-inf
131,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetJitter:histogram:rangemin,-0.00027,0,inf
127,General,,#0,ManualConfigurationShowcase.destination.app[0].sink,packetJitter:histogram:min,-0.00018721119000000006,0,inf
19086,General,,#0,ManualConfigurationShowcase.s2b.eth[0].macLayer.queue,incomingDataRate:vector:min,94451200,0,-inf
